#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321A42360
#Date Time: 2019-12-04 13:34:20.495

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,0.6011580140428284,0.601160825775461,0.001838640510841385,-0.02913711557219457,0.02915646099751462,0.001061938808266797
5,0.5997772553423424,0.5997789436582478,0.001423105637390189,-0.02938599428953114,0.02941704736611189,0.001351301356484958
10,0.5997610004982479,0.5997626566270075,0.001409455734754836,-0.02977657037878205,0.02982140636288821,0.001634666307930186
15,0.5991798898221458,0.5991801044366619,0.0005071344041156075,-0.02994279229583508,0.02999184030206219,0.001714547821766457
20,0.5991518953684399,0.5991520457513861,0.000424504805948376,-0.03035880124671166,0.03041420483654329,0.001834950326877163
25,0.5990570754446002,0.5990572446521932,0.0004502553686982487,-0.02973660445337049,0.02978028225584936,0.001612317221293939
30,0.5990218566157449,0.5990221193284382,0.0005610180190082023,-0.0301467093470835,0.03019961080948867,0.001786731257689934
35,0.5987243026642639,0.5987253673931737,0.001129140889523768,-0.02948681741954698,0.02952195873154424,0.001440015907410807
40,0.598999280443403,0.5989996091611303,0.0006275375137145709,-0.02900858878933651,0.02902097192983105,0.0008476958201907219
45,0.5989821225524224,0.5989825008682044,0.0006732078316741162,-0.03027659860467213,0.03033121260793603,0.001819350213578223
50,0.5989139425119455,0.5989145130853757,0.0008267097154573546,-0.03081523028124257,0.03087095959347532,0.001854111360197441
55,0.5984335215644891,0.5984352278871183,0.001429071067360779,-0.03065854568729982,0.03071492882147649,0.001860222795364606
60,0.5977517211597323,0.5977543796209012,0.001782752490274808,-0.03110362076574861,0.03115610401285231,0.0018076483397905
65,0.596894729657608,0.5968974833419268,0.001813098683759791,-0.03071985705014708,0.03077607855003678,0.001859406823898655
70,0.5974744857633698,0.5974773095054832,0.001836909260367901,-0.03089924955625684,0.03095430431933934,0.001845354371026251
75,0.5986868262181778,0.5986879815301486,0.00117615531210839,-0.03131980008956586,0.0313681503643712,0.001740970887596094
80,0.5982073083176129,0.5982094164483216,0.001588144428032094,-0.03062811708499797,0.03068453518983557,0.001859877319647944
85,0.5981052640186257,0.5981075255011331,0.001644753534036447,-0.03109453760088233,0.03114716290056785,0.001809830970572916
90,0.5978934995220467,0.5978960238375227,0.001737397450786093,-0.03194653846534046,0.03197495945479156,0.00134785467246243
95,0.5965222228139417,0.5965246340867993,0.001696101836811208,-0.03091423677828584,0.03096914764290111,0.001843385511502779
100,0.5959790401073832,0.5959805340303073,0.00133442711176088,-0.02966348497619656,0.02970489646795223,0.001567971058078835
105,0.5968671867273452,0.5968699230678997,0.001807338152502653,-0.03135885769849153,0.03140630856139818,0.001725763975654217
110,0.5969516216119045,0.5969544070925216,0.001823623325552462,-0.03129164227848075,0.03134061214647588,0.001751311860165566
115,0.5964933253133454,0.5964957002823789,0.001683244467363436,-0.0319342761927712,0.03196319759432135,0.001359413291629286
120,0.5957772091266306,0.5957782355686465,0.001105921587153123,-0.03096918992572729,0.03102351240243106,0.001835101394530434
125,0.5955731205286526,0.5955736043887249,0.0007591760877179029,-0.03135794938200439,0.03140542168803466,0.00172612918375563
130,0.5954525637683425,0.5954526940817313,0.0003939427574193893,-0.03097600229937649,0.03103024519984776,0.001833957118313052
135,0.5954954584957938,0.5954957174164502,0.0005553127154272348,-0.03043101240739918,0.03048692321069724,0.001845527218967125
