#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321A42360
#Date Time: 2019-12-04 17:08:56.753

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,0.3816706604265843,0.3816737125983601,0.001526387283561717,-0.03253240259921706,0.03253429737792415,0.0003511224824216762
5,0.3813284056538536,0.3813304968818455,0.001262890982528691,-0.03255965209381588,0.03256178688215167,0.0003728545136358053
10,0.3813573031544563,0.3813593938134136,0.001262766995203273,-0.03255556466962605,0.03255731462240553,0.0003375566087322766
15,0.3808272146278303,0.380828500965405,0.0009898213749551694,-0.03275448598019796,0.03276678042048505,0.0008975228672812728
20,0.3806109348967861,0.3806123636894516,0.001042895132541358,-0.03263776731166606,0.03264427505373786,0.0006517965124484018
25,0.3805563005597152,0.3805578478999739,0.00108522004918754,-0.03255828961908594,0.03256029619715622,0.0003614768682319391
30,0.3804348407525092,0.3804367832537153,0.001215727782061921,-0.03252967764975712,0.03253048236816584,0.000228812386993567
35,0.3805576551300557,0.3805591575165016,0.001069341655131882,-0.03253558170692025,0.03253667046184873,0.0002661723788423415
40,0.3808664971677093,0.380867577992452,0.000907359369281548,-0.03223356647511585,0.03224910112633595,0.001000857507816869
45,0.3809685414666996,0.3809695273393223,0.0008667028729126852,-0.03246155391325984,0.0324657344762953,0.0005209919594671039
50,0.3816796908955222,0.3816828203305338,0.001545604528587958,-0.03251514458597104,0.03251626043545695,0.0002693793976226258
55,0.3818810703528147,0.3818846216617421,0.001646926805376461,-0.03251469042772772,0.03251546838302641,0.0002249234461386651
60,0.382712325018505,0.3827167934660262,0.001849399857198595,-0.03251469042772771,0.03251718319623485,0.0004026281243684786
65,0.3840587679370634,0.3840609337225304,0.00128979938888963,-0.03256101456854583,0.03256327749890649,0.0003838902678313719
70,0.3842646626288319,0.3842662353826349,0.001099413419941349,-0.03250560726286144,0.03250695314885033,0.0002958031341348153
75,0.384476427125414,0.3844774095096696,0.0008691421730872537,-0.03259870970274097,0.03260284975174762,0.0005195552438879414
80,0.3849049228764912,0.3849068177737583,0.001207772386753396,-0.03263549652044963,0.03264162427127267,0.0006324570583554886
85,0.3856987010961057,0.3857024543254138,0.00170154207143505,-0.03251786953543093,0.03251903793617446,0.0002756613339752919
90,0.386140742550606,0.3861450680675326,0.001827713148716924,-0.03255738130259932,0.03255949265199201,0.0003707889861880785
95,0.3872374930030498,0.3872410709405923,0.001664642888311003,-0.03284304683764439,0.0328595318699514,0.001040725291642126
100,0.388177113296017,0.3881781039741694,0.0008769938409097085,-0.0326400381028826,0.03264682210848532,0.0006655121527471181
105,0.3885740024058211,0.3885754996304176,0.001078687813557192,-0.03253285675746032,0.03253446575717844,0.0003235634459997058
110,0.3892756698422586,0.3892791682823709,0.001650371935512522,-0.03250333647164486,0.03250481099614744,0.000309606373179694
115,0.3899100602851053,0.389914388685911,0.001837224215052533,-0.03255102308719289,0.03255371156777492,0.0004183692327602969
120,0.3910795060124879,0.3910827118435962,0.001583502448701053,-0.0325019739969149,0.0325042014282407,0.000380521735931497
125,0.3915531541082506,0.3915549713810152,0.001192946394650904,-0.03259780138625433,0.03260189177281494,0.0005164222580944527
130,0.3920272537274602,0.3920281934360499,0.0008583610360570745,-0.03257236852462873,0.03257609431507728,0.0004926758778241449
135,0.3925094807687039,0.3925117270780786,0.001327930917820351,-0.03253013180800043,0.03253127405504466,0.000272609975131991
140,0.3933994334824696,0.3934036183698489,0.001814574932078895,-0.03257918089827842,0.03258235071517076,0.0004544778582537053
145,0.3941832781862135,0.3941874504571104,0.001813641710569764,-0.03258917237963137,0.03259284141069761,0.0004890345934146992
150,0.3948777212474764,0.3948806514094243,0.00152122316793153,-0.03268590808545749,0.03269478839887706,0.0007619718343725944
155,0.3955283665344045,0.3955302094278653,0.001207409071935003,-0.03274721944830507,0.03275920573417253,0.0008861031195146755
