Taget:	Current:	Delta:	PWM:	pp:	ip:	dp:	Time: 			Initial	tcGoal	rtLow	rtHigh		kp	Ki	kd
50	0	50	51,665	50	1,665	0				29,5	42,415	31,55	47,95		1	0,10	0,00
50	29,5	20,5	22,848	20,5	2,348	0	0										
50	29,5	20,5	23,53	20,5	3,03	0	0,333										
50	29,5	20,5	24,213	20,5	3,713	0	0,666										
50	29,5	20,5	24,896	20,5	4,396	0	0,999										
50	30	20	25,062	20	5,062	0	1,332										
50	30	20	25,728	20	5,728	0	1,665										
50	30	20	26,394	20	6,394	0	1,998										
50	30	20	27,06	20	7,06	0	2,331										
50	30	20	27,726	20	7,726	0	2,664										
50	30	20	28,392	20	8,392	0	2,997										
50	30	20	29,058	20	9,058	0	3,33										
50	30	20	29,724	20	9,724	0	3,663										
50	30,5	19,5	29,873	19,5	10,373	0	3,996										
50	30,5	19,5	30,522	19,5	11,022	0	4,329										
50	30,5	19,5	31,172	19,5	11,672	0	4,662										
50	30,5	19,5	31,821	19,5	12,321	0	4,995										
50	30,5	19,5	32,47	19,5	12,97	0	5,328										
50	30,5	19,5	33,12	19,5	13,62	0	5,661										
50	31	19	33,252	19	14,252	0	5,994										
50	31	19	33,885	19	14,885	0	6,327										
50	31	19	34,518	19	15,518	0	6,66										
50	31	19	35,15	19	16,15	0	6,993										
50	31	19	35,783	19	16,783	0	7,326										
50	31	19	36,416	19	17,416	0	7,659										
50	31,5	18,5	36,532	18,5	18,032	0	7,992										
50	31,5	18,5	37,148	18,5	18,648	0	8,325										
50	31,5	18,5	37,764	18,5	19,264	0	8,658										
50	31,5	18,5	38,38	18,5	19,88	0	8,991										
50	31,5	18,5	38,996	18,5	20,496	0	9,324										
50	31,5	18,5	39,612	18,5	21,112	0	9,657										
50	32	18	39,712	18	21,712	0	9,99										
50	32	18	40,311	18	22,311	0	10,323										
50	32	18	40,91	18	22,91	0	10,656										
50	32	18	41,51	18	23,51	0	10,989										
50	32	18	42,109	18	24,109	0	11,322										
50	32,5	17,5	42,192	17,5	24,692	0	11,655										
50	32,5	17,5	42,775	17,5	25,275	0	11,988										
50	32,5	17,5	43,357	17,5	25,857	0	12,321										
50	32,5	17,5	43,94	17,5	26,44	0	12,654										
50	32,5	17,5	44,523	17,5	27,023	0	12,987										
50	33	17	44,589	17	27,589	0	13,32										
50	33	17	45,155	17	28,155	0	13,653										
50	33	17	45,721	17	28,721	0	13,986										
50	33	17	46,287	17	29,287	0	14,319										
50	33	17	46,853	17	29,853	0	14,652										
50	33,5	16,5	46,903	16,5	30,403	0	14,985										
50	33,5	16,5	47,452	16,5	30,952	0	15,318										
50	33,5	16,5	48,002	16,5	31,502	0	15,651										
50	33,5	16,5	48,551	16,5	32,051	0	15,984										
50	34	16	48,584	16	32,584	0	16,317										
50	34	16	49,117	16	33,117	0	16,65										
50	34	16	49,65	16	33,65	0	16,983										
50	34	16	50,182	16	34,182	0	17,316										
50	34	16	50,715	16	34,715	0	17,649										
50	34,5	15,5	50,731	15,5	35,231	0	17,982										
50	34,5	15,5	51,248	15,5	35,748	0	18,315										
50	34,5	15,5	51,764	15,5	36,264	0	18,648										
50	34,5	15,5	52,28	15,5	36,78	0	18,981										
50	34,5	15,5	52,796	15,5	37,296	0	19,314										
50	35	15	52,796	15	37,796	0	19,647										
50	35	15	53,295	15	38,295	0	19,98										
50	35	15	53,795	15	38,795	0	20,313										
50	35	15	54,294	15	39,294	0	20,646										
50	35,5	14,5	54,277	14,5	39,777	0	20,979										
50	35,5	14,5	54,76	14,5	40,26	0	21,312										
50	35,5	14,5	55,243	14,5	40,743	0	21,645										
50	35,5	14,5	55,725	14,5	41,225	0	21,978										
50	35,5	14,5	56,208	14,5	41,708	0	22,311										
50	36	14	56,174	14	42,174	0	22,644										
50	36	14	56,641	14	42,641	0	22,977										
50	36	14	57,107	14	43,107	0	23,31										
50	36	14	57,573	14	43,573	0	23,643										
50	36,5	13,5	57,523	13,5	44,023	0	23,976										
50	36,5	13,5	57,972	13,5	44,472	0	24,309										
50	36,5	13,5	58,422	13,5	44,922	0	24,642										
50	36,5	13,5	58,871	13,5	45,371	0	24,975										
50	36,5	13,5	59,321	13,5	45,821	0	25,308										
50	37	13	59,254	13	46,254	0	25,641										
50	37	13	59,687	13	46,687	0	25,974										
50	37	13	60,12	13	47,12	0	26,307										
50	37	13	60,552	13	47,552	0	26,64										
50	37,5	12,5	60,469	12,5	47,969	0	26,973										
50	37,5	12,5	60,885	12,5	48,385	0	27,306										
50	37,5	12,5	61,301	12,5	48,801	0	27,639										
50	37,5	12,5	61,717	12,5	49,217	0	27,972										
50	37,5	12,5	62,134	12,5	49,634	0	28,305										
50	38	12	62,033	12	50,033	0	28,638										
50	38	12	62,433	12	50,433	0	28,971										
50	38	12	62,832	12	50,832	0	29,304										
50	38	12	63,232	12	51,232	0	29,637										
50	38,5	11,5	63,115	11,5	51,615	0	29,97										
50	38,5	11,5	63,498	11,5	51,998	0	30,303										
50	38,5	11,5	63,881	11,5	52,381	0	30,636										
50	38,5	11,5	64,264	11,5	52,764	0	30,969										
50	39	11	64,13	11	53,13	0	31,302										
50	39	11	64,496	11	53,496	0	31,635										
50	39	11	64,863	11	53,863	0	31,968										
