Taget:;Current:;Delta:;PWM:;pp:;ip:;dp:
50,0;0,0;50,0;116,680;100,000;1,665;15,015
50,0;29,5;20,5;34,489;41,000;2,348;-8,859
50,0;29,5;20,5;44,030;41,000;3,030;0,000
50,0;29,5;20,5;44,713;41,000;3,713;0,000
50,0;30,0;20,0;44,229;40,000;4,379;-0,150
50,0;30,0;20,0;45,045;40,000;5,045;0,000
50,0;30,0;20,0;45,711;40,000;5,711;0,000
50,0;30,0;20,0;46,377;40,000;6,377;0,000
50,0;30,5;19,5;45,876;39,000;7,026;-0,150
50,0;30,5;19,5;46,676;39,000;7,676;0,000
50,0;30,5;19,5;47,325;39,000;8,325;0,000
50,0;30,5;19,5;47,974;39,000;8,974;0,000
50,0;31,0;19,0;47,457;38,000;9,607;-0,150
50,0;31,0;19,0;48,240;38,000;10,240;0,000
50,0;31,0;19,0;48,872;38,000;10,872;0,000
50,0;31,0;19,0;49,505;38,000;11,505;0,000
50,0;31,5;18,5;48,971;37,000;12,121;-0,150
50,0;31,5;18,5;49,737;37,000;12,737;0,000
50,0;31,5;18,5;50,353;37,000;13,353;0,000
50,0;31,5;18,5;50,969;37,000;13,969;0,000
50,0;32,0;18,0;50,419;36,000;14,569;-0,150
50,0;32,0;18,0;51,168;36,000;15,168;0,000
50,0;32,0;18,0;51,768;36,000;15,768;0,000
50,0;32,0;18,0;52,367;36,000;16,367;0,000
50,0;32,5;17,5;51,800;35,000;16,950;-0,150
50,0;32,5;17,5;52,532;35,000;17,532;0,000
50,0;32,5;17,5;53,115;35,000;18,115;0,000
50,0;32,5;17,5;53,698;35,000;18,698;0,000
50,0;33,0;17,0;53,114;34,000;19,264;-0,150
50,0;33,0;17,0;53,830;34,000;19,830;0,000
50,0;33,0;17,0;54,396;34,000;20,396;0,000
50,0;33,0;17,0;54,962;34,000;20,962;0,000
50,0;33,5;16,5;54,362;33,000;21,512;-0,150
50,0;33,5;16,5;55,061;33,000;22,061;0,000
50,0;33,5;16,5;55,611;33,000;22,611;0,000
50,0;33,5;16,5;56,160;33,000;23,160;0,000
50,0;34,0;16,0;55,543;32,000;23,693;-0,150
50,0;34,0;16,0;56,226;32,000;24,226;0,000
50,0;34,0;16,0;56,759;32,000;24,759;0,000
50,0;34,5;15,5;56,125;31,000;25,275;-0,150
50,0;34,5;15,5;56,791;31,000;25,791;0,000
50,0;34,5;15,5;57,307;31,000;26,307;0,000
50,0;34,5;15,5;57,823;31,000;26,823;0,000
50,0;35,0;15,0;57,173;30,000;27,323;-0,150
50,0;35,0;15,0;57,822;30,000;27,822;0,000
50,0;35,0;15,0;58,322;30,000;28,322;0,000
50,0;35,0;15,0;58,821;30,000;28,821;0,000
50,0;35,5;14,5;58,154;29,000;29,304;-0,150
50,0;35,5;14,5;58,787;29,000;29,787;0,000
50,0;35,5;14,5;59,270;29,000;30,270;0,000
50,0;35,5;14,5;59,753;29,000;30,753;0,000
50,0;36,0;14,0;59,069;28,000;31,219;-0,150
50,0;36,0;14,0;59,685;28,000;31,685;0,000
